[2025-04-23 19:42:31,903][       train.py][line: 102][    INFO] load CoOp
[2025-04-23 19:51:56,967][       train.py][line: 293][    INFO] (brainmri): Epoch: 27, image auroc: 0.9213,
[2025-04-23 19:51:56,967][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:52:18,619][       train.py][line: 293][    INFO] (brainmri): Epoch: 28, image auroc: 0.9212,
[2025-04-23 19:52:18,620][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:52:40,263][       train.py][line: 293][    INFO] (brainmri): Epoch: 29, image auroc: 0.9173,
[2025-04-23 19:52:40,263][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:52:43,304][       train.py][line: 383][    INFO] Epoch: [30/200]	Iter: [30/200]	Loss 0.66301 (0.66301)	
[2025-04-23 19:53:01,728][       train.py][line: 293][    INFO] (brainmri): Epoch: 30, image auroc: 0.9134,
[2025-04-23 19:53:01,729][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:53:23,467][       train.py][line: 293][    INFO] (brainmri): Epoch: 31, image auroc: 0.9117,
[2025-04-23 19:53:23,468][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:53:44,758][       train.py][line: 293][    INFO] (brainmri): Epoch: 32, image auroc: 0.9007,
[2025-04-23 19:53:44,759][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:54:06,257][       train.py][line: 293][    INFO] (brainmri): Epoch: 33, image auroc: 0.8833,
[2025-04-23 19:54:06,258][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:54:27,706][       train.py][line: 293][    INFO] (brainmri): Epoch: 34, image auroc: 0.8881,
[2025-04-23 19:54:27,707][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:54:48,882][       train.py][line: 293][    INFO] (brainmri): Epoch: 35, image auroc: 0.8954,
[2025-04-23 19:54:48,882][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:55:10,260][       train.py][line: 293][    INFO] (brainmri): Epoch: 36, image auroc: 0.9059,
[2025-04-23 19:55:10,261][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:55:31,609][       train.py][line: 293][    INFO] (brainmri): Epoch: 37, image auroc: 0.9109,
[2025-04-23 19:55:31,609][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:55:53,165][       train.py][line: 293][    INFO] (brainmri): Epoch: 38, image auroc: 0.9119,
[2025-04-23 19:55:53,165][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:56:14,553][       train.py][line: 293][    INFO] (brainmri): Epoch: 39, image auroc: 0.9128,
[2025-04-23 19:56:14,553][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:56:17,782][       train.py][line: 383][    INFO] Epoch: [40/200]	Iter: [40/200]	Loss 0.59567 (0.59567)	
[2025-04-23 19:56:36,061][       train.py][line: 293][    INFO] (brainmri): Epoch: 40, image auroc: 0.9104,
[2025-04-23 19:56:36,061][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:56:57,548][       train.py][line: 293][    INFO] (brainmri): Epoch: 41, image auroc: 0.9117,
[2025-04-23 19:56:57,548][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:57:19,542][       train.py][line: 293][    INFO] (brainmri): Epoch: 42, image auroc: 0.9139,
[2025-04-23 19:57:19,542][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:57:40,823][       train.py][line: 293][    INFO] (brainmri): Epoch: 43, image auroc: 0.9140,
[2025-04-23 19:57:40,823][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:58:02,169][       train.py][line: 293][    INFO] (brainmri): Epoch: 44, image auroc: 0.9168,
[2025-04-23 19:58:02,169][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:58:23,957][       train.py][line: 293][    INFO] (brainmri): Epoch: 45, image auroc: 0.9206,
[2025-04-23 19:58:23,957][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:58:45,289][       train.py][line: 293][    INFO] (brainmri): Epoch: 46, image auroc: 0.9238,
[2025-04-23 19:58:45,289][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:59:06,470][       train.py][line: 293][    INFO] (brainmri): Epoch: 47, image auroc: 0.9219,
[2025-04-23 19:59:06,470][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:59:28,011][       train.py][line: 293][    INFO] (brainmri): Epoch: 48, image auroc: 0.9234,
[2025-04-23 19:59:28,011][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:59:49,700][       train.py][line: 293][    INFO] (brainmri): Epoch: 49, image auroc: 0.9216,
[2025-04-23 19:59:49,700][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 19:59:52,499][       train.py][line: 383][    INFO] Epoch: [50/200]	Iter: [50/200]	Loss 1.00301 (1.00301)	
[2025-04-23 20:00:11,040][       train.py][line: 293][    INFO] (brainmri): Epoch: 50, image auroc: 0.9209,
[2025-04-23 20:00:11,041][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:00:32,492][       train.py][line: 293][    INFO] (brainmri): Epoch: 51, image auroc: 0.9196,
[2025-04-23 20:00:32,492][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:00:53,964][       train.py][line: 293][    INFO] (brainmri): Epoch: 52, image auroc: 0.9219,
[2025-04-23 20:00:53,964][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:01:15,319][       train.py][line: 293][    INFO] (brainmri): Epoch: 53, image auroc: 0.9234,
[2025-04-23 20:01:15,319][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:01:36,656][       train.py][line: 293][    INFO] (brainmri): Epoch: 54, image auroc: 0.9228,
[2025-04-23 20:01:36,657][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:01:58,068][       train.py][line: 293][    INFO] (brainmri): Epoch: 55, image auroc: 0.9211,
[2025-04-23 20:01:58,069][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:02:19,910][       train.py][line: 293][    INFO] (brainmri): Epoch: 56, image auroc: 0.9206,
[2025-04-23 20:02:19,910][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:02:41,340][       train.py][line: 293][    INFO] (brainmri): Epoch: 57, image auroc: 0.9213,
[2025-04-23 20:02:41,340][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:03:02,687][       train.py][line: 293][    INFO] (brainmri): Epoch: 58, image auroc: 0.9182,
[2025-04-23 20:03:02,687][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:03:24,317][       train.py][line: 293][    INFO] (brainmri): Epoch: 59, image auroc: 0.9183,
[2025-04-23 20:03:24,317][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:03:27,438][       train.py][line: 383][    INFO] Epoch: [60/200]	Iter: [60/200]	Loss 0.78393 (0.78393)	
[2025-04-23 20:03:45,960][       train.py][line: 293][    INFO] (brainmri): Epoch: 60, image auroc: 0.9211,
[2025-04-23 20:03:45,960][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:04:07,513][       train.py][line: 293][    INFO] (brainmri): Epoch: 61, image auroc: 0.9214,
[2025-04-23 20:04:07,514][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:04:29,097][       train.py][line: 293][    INFO] (brainmri): Epoch: 62, image auroc: 0.9215,
[2025-04-23 20:04:29,098][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:04:50,587][       train.py][line: 293][    INFO] (brainmri): Epoch: 63, image auroc: 0.9227,
[2025-04-23 20:04:50,587][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:05:12,026][       train.py][line: 293][    INFO] (brainmri): Epoch: 64, image auroc: 0.9242,
[2025-04-23 20:05:12,026][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9246,
[2025-04-23 20:05:33,479][       train.py][line: 293][    INFO] (brainmri): Epoch: 65, image auroc: 0.9252,
[2025-04-23 20:05:33,479][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9252,
[2025-04-23 20:05:33,479][       train.py][line: 319][    INFO] save checkpoints in epoch: 65
[2025-04-23 20:05:54,978][       train.py][line: 293][    INFO] (brainmri): Epoch: 66, image auroc: 0.9247,
[2025-04-23 20:05:54,978][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9252,
[2025-04-23 20:06:16,358][       train.py][line: 293][    INFO] (brainmri): Epoch: 67, image auroc: 0.9213,
[2025-04-23 20:06:16,358][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9252,
[2025-04-23 20:06:37,851][       train.py][line: 293][    INFO] (brainmri): Epoch: 68, image auroc: 0.9265,
[2025-04-23 20:06:37,852][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9265,
[2025-04-23 20:06:37,852][       train.py][line: 319][    INFO] save checkpoints in epoch: 68
[2025-04-23 20:06:59,509][       train.py][line: 293][    INFO] (brainmri): Epoch: 69, image auroc: 0.9278,
[2025-04-23 20:06:59,509][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9278,
[2025-04-23 20:06:59,509][       train.py][line: 319][    INFO] save checkpoints in epoch: 69
[2025-04-23 20:07:02,522][       train.py][line: 383][    INFO] Epoch: [70/200]	Iter: [70/200]	Loss 1.00252 (1.00252)	
[2025-04-23 20:07:21,398][       train.py][line: 293][    INFO] (brainmri): Epoch: 70, image auroc: 0.9278,
[2025-04-23 20:07:21,398][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9278,
[2025-04-23 20:07:21,398][       train.py][line: 319][    INFO] save checkpoints in epoch: 70
[2025-04-23 20:07:42,883][       train.py][line: 293][    INFO] (brainmri): Epoch: 71, image auroc: 0.9273,
[2025-04-23 20:07:42,884][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9278,
[2025-04-23 20:08:04,377][       train.py][line: 293][    INFO] (brainmri): Epoch: 72, image auroc: 0.9271,
[2025-04-23 20:08:04,377][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9278,
[2025-04-23 20:08:25,913][       train.py][line: 293][    INFO] (brainmri): Epoch: 73, image auroc: 0.9279,
[2025-04-23 20:08:25,913][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:08:25,913][       train.py][line: 319][    INFO] save checkpoints in epoch: 73
[2025-04-23 20:08:47,236][       train.py][line: 293][    INFO] (brainmri): Epoch: 74, image auroc: 0.9267,
[2025-04-23 20:08:47,236][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:09:08,496][       train.py][line: 293][    INFO] (brainmri): Epoch: 75, image auroc: 0.9254,
[2025-04-23 20:09:08,497][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:09:30,022][       train.py][line: 293][    INFO] (brainmri): Epoch: 76, image auroc: 0.9253,
[2025-04-23 20:09:30,022][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:09:51,230][       train.py][line: 293][    INFO] (brainmri): Epoch: 77, image auroc: 0.9253,
[2025-04-23 20:09:51,230][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:10:12,871][       train.py][line: 293][    INFO] (brainmri): Epoch: 78, image auroc: 0.9254,
[2025-04-23 20:10:12,871][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:10:34,146][       train.py][line: 293][    INFO] (brainmri): Epoch: 79, image auroc: 0.9249,
[2025-04-23 20:10:34,146][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:10:36,939][       train.py][line: 383][    INFO] Epoch: [80/200]	Iter: [80/200]	Loss 0.53572 (0.53572)	
[2025-04-23 20:10:55,380][       train.py][line: 293][    INFO] (brainmri): Epoch: 80, image auroc: 0.9252,
[2025-04-23 20:10:55,380][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:11:16,793][       train.py][line: 293][    INFO] (brainmri): Epoch: 81, image auroc: 0.9223,
[2025-04-23 20:11:16,793][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:11:38,085][       train.py][line: 293][    INFO] (brainmri): Epoch: 82, image auroc: 0.9234,
[2025-04-23 20:11:38,086][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:11:59,653][       train.py][line: 293][    INFO] (brainmri): Epoch: 83, image auroc: 0.9269,
[2025-04-23 20:11:59,653][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9279,
[2025-04-23 20:12:21,449][       train.py][line: 293][    INFO] (brainmri): Epoch: 84, image auroc: 0.9320,
[2025-04-23 20:12:21,449][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9320,
[2025-04-23 20:12:21,449][       train.py][line: 319][    INFO] save checkpoints in epoch: 84
[2025-04-23 20:12:43,122][       train.py][line: 293][    INFO] (brainmri): Epoch: 85, image auroc: 0.9344,
[2025-04-23 20:12:43,122][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9344,
[2025-04-23 20:12:43,123][       train.py][line: 319][    INFO] save checkpoints in epoch: 85
[2025-04-23 20:13:04,775][       train.py][line: 293][    INFO] (brainmri): Epoch: 86, image auroc: 0.9334,
[2025-04-23 20:13:04,775][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9344,
[2025-04-23 20:13:26,109][       train.py][line: 293][    INFO] (brainmri): Epoch: 87, image auroc: 0.9348,
[2025-04-23 20:13:26,109][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9348,
[2025-04-23 20:13:26,109][       train.py][line: 319][    INFO] save checkpoints in epoch: 87
[2025-04-23 20:13:47,410][       train.py][line: 293][    INFO] (brainmri): Epoch: 88, image auroc: 0.9361,
[2025-04-23 20:13:47,410][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:13:47,410][       train.py][line: 319][    INFO] save checkpoints in epoch: 88
[2025-04-23 20:14:08,768][       train.py][line: 293][    INFO] (brainmri): Epoch: 89, image auroc: 0.9346,
[2025-04-23 20:14:08,769][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:14:11,621][       train.py][line: 383][    INFO] Epoch: [90/200]	Iter: [90/200]	Loss 0.68572 (0.68572)	
[2025-04-23 20:14:30,040][       train.py][line: 293][    INFO] (brainmri): Epoch: 90, image auroc: 0.9329,
[2025-04-23 20:14:30,040][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:14:51,551][       train.py][line: 293][    INFO] (brainmri): Epoch: 91, image auroc: 0.9332,
[2025-04-23 20:14:51,551][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:15:13,017][       train.py][line: 293][    INFO] (brainmri): Epoch: 92, image auroc: 0.9329,
[2025-04-23 20:15:13,017][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:15:34,439][       train.py][line: 293][    INFO] (brainmri): Epoch: 93, image auroc: 0.9319,
[2025-04-23 20:15:34,439][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:15:56,117][       train.py][line: 293][    INFO] (brainmri): Epoch: 94, image auroc: 0.9301,
[2025-04-23 20:15:56,117][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:16:17,495][       train.py][line: 293][    INFO] (brainmri): Epoch: 95, image auroc: 0.9281,
[2025-04-23 20:16:17,496][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:16:39,057][       train.py][line: 293][    INFO] (brainmri): Epoch: 96, image auroc: 0.9294,
[2025-04-23 20:16:39,057][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:17:00,426][       train.py][line: 293][    INFO] (brainmri): Epoch: 97, image auroc: 0.9283,
[2025-04-23 20:17:00,426][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:17:22,359][       train.py][line: 293][    INFO] (brainmri): Epoch: 98, image auroc: 0.9282,
[2025-04-23 20:17:22,360][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:17:43,704][       train.py][line: 293][    INFO] (brainmri): Epoch: 99, image auroc: 0.9303,
[2025-04-23 20:17:43,704][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:17:46,928][       train.py][line: 383][    INFO] Epoch: [100/200]	Iter: [100/200]	Loss 0.73653 (0.73653)	
[2025-04-23 20:18:05,232][       train.py][line: 293][    INFO] (brainmri): Epoch: 100, image auroc: 0.9282,
[2025-04-23 20:18:05,232][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:18:26,893][       train.py][line: 293][    INFO] (brainmri): Epoch: 101, image auroc: 0.9230,
[2025-04-23 20:18:26,893][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:18:48,298][       train.py][line: 293][    INFO] (brainmri): Epoch: 102, image auroc: 0.9248,
[2025-04-23 20:18:48,298][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:19:09,556][       train.py][line: 293][    INFO] (brainmri): Epoch: 103, image auroc: 0.9267,
[2025-04-23 20:19:09,556][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:19:31,154][       train.py][line: 293][    INFO] (brainmri): Epoch: 104, image auroc: 0.9270,
[2025-04-23 20:19:31,155][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:19:52,371][       train.py][line: 293][    INFO] (brainmri): Epoch: 105, image auroc: 0.9271,
[2025-04-23 20:19:52,371][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:20:14,102][       train.py][line: 293][    INFO] (brainmri): Epoch: 106, image auroc: 0.9270,
[2025-04-23 20:20:14,102][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:20:35,359][       train.py][line: 293][    INFO] (brainmri): Epoch: 107, image auroc: 0.9298,
[2025-04-23 20:20:35,359][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:20:56,935][       train.py][line: 293][    INFO] (brainmri): Epoch: 108, image auroc: 0.9299,
[2025-04-23 20:20:56,935][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:21:18,768][       train.py][line: 293][    INFO] (brainmri): Epoch: 109, image auroc: 0.9304,
